event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR171941,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Limanska,Karpivka,49.1704,37.7292,2,"Ministry of Defence of Russia",National,"On 27 August 2024, Russian Forces launched assault actions on Ukrainian positions near Karpivka, Donetsk. According to Russian sources, 690 Ukrainian soldiers were killed in the area of Hryhorivka, Krasnohorivka, Chasiv Yar, Kostiantynivka, Zaliznianske, Stupochky and Karpivka. [Russian MoD reported 690 fatalities. Coded as 10 fatalities split across 7 events. 1 fatalities coded to this event].",1,,1725414555
UKR171942,"27 August 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-) Air Force",,8,18,,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,3,"Flot 2017; Institute for the Study of War; Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Ukrinform",Other-National,"Interception: On 27 August 2024, Russian Forces launched 81 Shahed-136/131 drones, five Kh-101 missiles, three Kh-47 Kinzhal missile, an Iskander-M and an Iskander-K missiles against targets in Ukraine. Ukrainian Forces intercepted all five Kh-101 missiles and 60 drones, some of them over Kharkiv region (coded to Kharkiv, Kharkiv). No casualties.",0,,1725414555
UKR171943,"27 August 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-) Air Force",,8,18,,804,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,3,"Flot 2017; Institute for the Study of War; Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Ukrinform",Other-National,"Interception: On 27 August 2024, Russian Forces launched 81 Shahed-136/131 drones, five Kh-101 missiles, three Kh-47 Kinzhal missile, an Iskander-M and an Iskander-K missiles against targets in Ukraine. Ukrainian Forces intercepted all five Kh-101 missiles and 60 drones, some of them over Kherson region (coded to Kherson, Kherson). No casualties.",0,,1725414555
UKR171944,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Civilians (Ukraine)","Health Workers (Ukraine)",7,78,"Civilian targeting",804,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,1,"Novoye Vremya Ukraine; Sprotyv; Suspilne Media; Ukrinform",National,"On 27 August 2024, Russian Forces launched a drone strike on an ambulance crew that arrived at the scene of a Russian strike in Kherson, Kherson, damaging the vehicle, injuring 3 medics and 2 other civilians.",0,,1725414555
UKR171945,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Military Forces",,8,"Civilians (Ukraine)",,7,78,"Civilian targeting",804,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,1,"Suspilne Media",National,"On 27 August 2024, a grenade of unknown origin exploded in the hands of a resident of Tekstylne neighborhood of Kherson city as he tried to disassemble it. The man sustained miltiple injuries and was taken to a hospital.",0,,1725414555
UKR171946,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Civilians (Ukraine)",,7,78,"Civilian targeting",804,Europe,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.4128,26.998,3,"24 Channel; Flot 2017; Institute for the Study of War; Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Ukrinform",Other-National,"On 27 August 2024, Russian Forces launched 81 Shahed-136/131 drones, five Kh-101 missiles, three Kh-47 Kinzhal missile, an Iskander-M and an Iskander-K missiles against targets in Ukraine. Ukrainian Forces intercepted all five Kh-101 missiles and 60 drones, some of them over Khmelnytskyi region (coded to Khmelnytskyi, Khmelnytskyi). Fallen debris of the downed drones damaged two houses. 1 civilian was injured.",0,,1725414555
UKR171947,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Civilians (Ukraine)",,7,78,"Civilian targeting",804,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kindiika,46.6741,32.686,1,"Suspilne Media",National,"On 27 August 2024, Russian Forces launched drone strikes on Kindiika, Kherson. 2 civilian were injured.",0,,1725414555
UKR171948,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Bakhmutska,Klischiivka,48.5279,37.9582,2,"Institute for the Study of War; Ministry of Defence of Ukraine",Other,"On 27 August 2024, Russian Forces launched assault actions on Ukrainian positions near Klischiivka, Donetsk. The attacks were repelled. Casualties unknown.",0,,1725414555
UKR171949,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kharkiv,Kupianskyi,Kurylivska,Kolisnykivka,49.5713,37.7169,2,"Ministry of Defence of Ukraine",Other,"On 27 August 2024, Russian Forces launched assault actions on Ukrainian positions near Kolisnykivka, Kharkiv. Casualties unknown.",0,,1725414555
UKR171950,"27 August 2024",2024,1,"Political violence",Battles,"Non-state actor overtakes territory","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Novohrodivska,Komyshivka,48.1804,37.4681,1,"Ministry of Defence of Russia",National,"On 27 August 2024, according to Russian sources, Russian Forces took control over Komyshivka, Donetsk, after clashing with Ukrainian Forces. Casualties unknown.",0,,1725414555
